Timestamp,"Sur une échelle de 1 à 10, à combien évaluez-vous la qualité de votre sommeil ? (10 étant la meilleure qualité)","Le fait d'être en couple a-t-il des répercussions sur vos études ? Donner l'écart de moyenne avant et après. (0 pour les célibataires)","Quelle a été votre moyenne au bac ? (Arrondi à l'entier, de 10 à 20)","Est-ce que vous habitez chez vos parents ou tout seul ? Comment cela influence-t-il votre travail ?
1. Travailler chez mes parents m'empêche de travailler à cause d'interruptions extérieurs
2. Travailler chez mes parents me pousse à travailler
3. Vivre seul me prends trop de temps (ménage, courses, ...) et j'ai moins de temps pour travailler
4. Vivre seul me permet d'avoir un espace plus calme pour travailler
5. Vivre seul m'empêche de travailler car je n'ai plus quelqu'un derrière moi pour me pousser à le faire","Combien de temps mettez vous pour venir en cours  chaque matin?","combien d'heures par jour travaillez vous à la maison ?","Combien de temps passez-vous en moyenne par jour sur votre téléphone ?
-Moins d'1h
-Entre 1-2h
-Entre 2-4h
-Entre 4-6h
-Entre 6-8h
-Plus de 8h","combien d'heures en moyenne dormez-vous avant un CE ? (heure par heure)","Dans quel format (CM ou CTD) estimez-vous apprendre le plus, et quelle est votre moyenne générale ?","moyenne général ducoup ? (pas de 2 points)","Êtes-vous impliqué(e) dans une association étudiante à l’Efrei (oui/non) ? Si oui, combien d’heures par semaine y consacrez-vous en moyenne ? sinon, mettez 0.","Depuis que vous utilisez l'IA (ChatGPT, etc) avez vous trouvez que votre créativité et proactivité a diminuée ?","Le fait d’avoir une activité salariée pendant le semestre est-il associé aux résultats académiques des étudiant·es de l’Efrei ?","Quel est votre nombre d’absences injustifiées ce semestre ?","As-tu plutôt tendance à travailler régulièrement tout au long du semestre ou à bachoter avant les examens ?","Combien de temps avant de vous endormir arrêtez-vous d'utiliser vos écrans (téléphone, ordinateur, tablette) ?"
"2026/04/15 14:49:55.760",1,0,4,3,"5 minutes","45 mnutes",4,5,TD,6,1,non,"plutôt non",3,bachoter,0
"2026/04/15 14:49:57.416",3,0,3,1,1h,"5 minutes",3,8,TD,6,0,non,"plutôt non",6,bachoter,0
"2026/04/15 14:50:01.609",7,3,5,2,"30 minutes","45 mnutes",5,8,TD,7,0,oui,"plutôt non",6,bachoter,0
"2026/04/15 14:50:24.358",6,1,7,4,"30 minutes","45 mnutes",4,6,TD,6,0,oui,"plutôt non",0,régulièrement,0
"2026/04/15 14:54:45.397",3,0,5,1,"plus encore",1h,3,2,TD,6,1,non,"plutôt non",0,régulièrement,0
"2026/04/15 14:58:10.311",6,3,5,2,1h30,"5 minutes",3,8,TD,7,0,oui,"plutôt non",0,bachoter,1
"2026/04/16 11:17:40.494",4,0,3,1,1h,1h,5,6,CM,5,0,non,"plutôt non",0,bachoter,0
"2026/04/16 15:35:25.919",3,0,6,2,1h30,"30 minutes",2,4,TD,6,0,non,"plutôt non",7,bachoter,0
"2026/04/16 16:14:27.981",5,0,5,1,"30 minutes","plus encore",2,3,TD,5,0,non,"plutôt oui",0,régulièrement,0
"2026/04/16 16:15:15.001",6,0,4,5,"5 minutes","30 minutes",2,8,TD,6,2,non,"plutôt non",1,bachoter,0
"2026/04/16 16:15:16.818",5,0,5,3,"30 minutes","plus encore",2,4,TD,6,0,non,"plutôt oui",3,régulièrement,0
"2026/04/16 16:16:05.999",7,0,5,2,"30 minutes",1h,3,6,TD,6,2,oui,"plutôt non",8,régulièrement,0
"2026/04/16 16:16:10.536",3,0,7,2,1h,"5 minutes",3,6,TD,6,0,oui,"plutôt non",0,bachoter,0
"2026/04/16 16:16:11.498",10,0,4,4,"plus encore",1h,3,8,TD,6,2,non,"plutôt non",4,régulièrement,0
"2026/04/16 16:16:48.789",8,0,6,4,"5 minutes","5 minutes",2,5,TD,7,0,non,"plutôt non",3,bachoter,0
"2026/04/16 16:16:56.790",2,0,3,4,"30 minutes",1h,3,6,CM,8,3,oui,"plutôt oui",0,régulièrement,0
"2026/04/16 16:17:05.438",2,0,6,2,1h30,"plus encore",3,6,TD,7,0,oui,"plutôt non",3,régulièrement,0
"2026/04/16 16:17:11.723",5,0,6,2,1h30,"30 minutes",3,7,TD,8,1,non,"plutôt non",2,bachoter,0
"2026/04/16 16:18:12.695",6,4,7,1,"30 minutes",1h30,3,6,TD,7,2,non,"plutôt non",0,bachoter,0
"2026/04/16 16:18:26.725",1,0,8,5,"30 minutes",1h30,6,1,TD,5,0,non,"plutôt non",6,bachoter,0
"2026/04/16 16:19:50.116",7,1,6,2,1h,1h,2,8,TD,5,0,non,"plutôt non",3,régulièrement,0
"2026/04/16 16:20:34.407",2,0,6,2,1h,"plus encore",2,2,TD,8,0,oui,"plutôt oui",0,régulièrement,0
"2026/04/16 16:20:37.822",8,3,5,1,"45 mnutes","30 minutes",3,4,TD,7,1,non,"plutôt non",0,bachoter,0
"2026/04/16 16:20:54.436",5,2,5,2,1h30,"30 minutes",4,4,TD,6,1,non,"plutôt non",4,bachoter,1
"2026/04/16 16:22:00.953",5,0,7,1,"45 mnutes",1h,3,7,TD,5,0,non,"plutôt non",9,régulièrement,1
"2026/04/17 08:30:57.313",6,0,5,1,"30 minutes",1h,4,8,TD,6,2,non,"plutôt non",1,régulièrement,1
